Dates,logret_rep,logret_dem,SPX Index,Party
1/9/81,0.009040885,-0.016432746,0.0031515,1
1/12/81,0.003737634,0.006016063,0.000299625,1
1/13/81,-0.000495199,0.000111001,-0.001724074,1
1/14/81,0.004394676,-0.003406251,0.001349528,1
1/15/81,0.013689889,-0.001406507,0.005603511,1
1/16/81,0.002831492,-0.004837876,0.004089377,1
1/19/81,-0.0125566,0.009638693,-0.002972433,1
1/20/81,-0.020636488,-0.007645881,-0.020450303,1
1/21/81,0.003153907,0.003646961,-0.00220524,0
1/22/81,-0.022779166,-0.010239941,-0.008409193,0
1/23/81,0.005600115,-0.001169349,-0.000230335,0
1/26/81,0.000250039,-0.002487764,-0.002999195,0
1/27/81,0.03837536,0.009627834,0.009810011,0
1/28/81,-0.010059955,0.003274247,-0.005966514,0
1/29/81,0.005613287,0.001400005,-0.000767519,0
1/30/81,-0.01365323,0.00438643,-0.005311995,0
2/2/81,-0.021766084,-0.02291815,-0.020588733,0
2/3/81,0.015496194,0.001180703,0.012139398,0
2/4/81,-0.003307824,0.016498473,0.001011476,0
2/5/81,-0.004597871,0.010114406,0.00805519,0
2/6/81,0.0087905,0.013611353,0.007454978,0
2/9/81,-0.004883733,-0.00452246,-0.010235977,0
2/10/81,0.004264181,-0.011075766,-0.000232099,0
2/11/81,-0.013635729,0.008353464,-0.007767633,0
2/12/81,-0.009756262,-0.010938427,-0.005944019,0
2/13/81,0.00394084,-0.006449902,-0.003929896,0
2/16/81,0,0,0,0
2/17/81,0.006942489,-0.002593886,0.006515192,0
2/18/81,0.009194665,0.002827669,0.005228464,0
2/19/81,-0.015957813,-0.013804972,-0.014661755,0
2/20/81,-0.010624205,-0.006114323,-0.000236976,0
2/23/81,0.012133011,0.009211987,0.006064682,0
2/24/81,-0.01029946,-0.000360712,0.000314046,0
2/25/81,0.010925486,-0.002668089,0.008831287,0
2/26/81,0.012331454,0.00878476,0.012218851,0
2/27/81,0.008067508,0.000284007,0.008952885,0
3/2/81,0.01625262,0.001573626,0.005621406,0
3/3/81,7.62E-05,-0.001295528,-0.011044786,0
3/4/81,0.014039899,-0.00223402,0.002295158,0
3/5/81,-0.017916504,-0.006244009,-0.007132206,0
3/6/81,-0.002595488,0.011069939,-0.000615906,0
3/9/81,0.003592837,0.013692045,0.009732996,0
3/10/81,-0.017015614,0.000916488,-0.005046268,0
3/11/81,-0.008339039,0.00421921,-0.003916905,0
3/12/81,0.053782754,0.020141943,0.024626919,0
3/13/81,-0.015649018,0.01009179,-0.000600826,0
3/16/81,0.013976189,0.008464883,0.01172574,0
3/17/81,-0.0084737,0.011493772,-0.005658988,0
3/18/81,2.76E-06,0.017747334,0.002237638,0
3/19/81,-0.007617356,-0.002905826,-0.005678437,0
3/20/81,0.002440071,-0.004512588,0.004634829,0
3/23/81,0.021450597,0.008286366,0.011936235,0
3/24/81,-0.015748084,-0.00185747,-0.007545531,0
3/25/81,0.018919771,0.011865056,0.017956182,0
3/26/81,-0.010069905,-9.09E-05,-0.006145312,0
3/27/81,-0.008477437,-0.012820268,-0.011959393,0
3/30/81,-0.010979672,0.011106985,-0.002751647,0
3/31/81,0.00603267,0.013673304,0.012727714,0
4/1/81,0.007692826,-0.013477982,0.004182418,0
4/2/81,-0.014039056,-0.006804983,-0.001832241,0
4/3/81,-0.006823592,-0.007128142,-0.006107226,0
4/6/81,-0.010830241,-0.013659546,-0.011580561,0
4/7/81,0.009538518,0.006786147,-0.000149343,0
4/8/81,-0.006578063,0.00346022,0.007439957,0
4/9/81,-0.005142944,0.013197824,-0.001780548,0
4/10/81,-0.003535988,0.007247781,-0.001188796,0
4/13/81,-0.002784594,0.002223772,-0.010162233,0
4/14/81,-0.005070648,-0.001894414,-0.003536098,0
4/15/81,0.010023954,0.010782773,0.011167439,0
4/16/81,-0.001690756,0.004688702,0.003942431,0
4/17/81,0,0,0,0
4/20/81,0.008552657,0.007917637,0.005552485,0
4/21/81,-0.034123386,0.0045811,-0.009047822,0
4/22/81,0.011441554,0.000158931,-0.000670716,0
4/23/81,-0.00349386,0.009657272,-0.001492092,0
4/24/81,0.007584448,0.004340119,0.00891934,0
4/27/81,0.005074299,-0.007551139,0.00251275,0
4/28/81,0.000652355,-0.016161847,-0.008524569,0
4/29/81,0.007109364,-0.012966291,-0.009574462,0
4/30/81,0.003405366,-0.015137454,-0.001805462,0
5/1/81,-0.00239414,-0.00350352,-0.00067789,0
5/4/81,-0.019020751,-0.017927642,-0.015566585,0
5/5/81,-0.003527089,-0.001140526,-0.002682097,0
5/6/81,0.006102526,0.006914457,0.003523558,0
5/7/81,0.008185269,0.009105907,0.00678227,0
5/8/81,8.37E-05,0.00060465,-7.60E-05,0
5/11/81,-0.015289872,-0.015188558,-0.014921653,0
5/12/81,0.01150473,0.003774956,0.007756442,0
5/13/81,-0.016015432,0.002553652,-0.001301336,0
5/14/81,0.000320808,0.009527108,0.005576152,0
5/15/81,0.012160009,0.017143115,0.006756526,0
5/18/81,0.009466405,0.007781316,0.002795514,0
5/19/81,-0.005242171,-0.010194007,-0.003400978,0
5/20/81,-0.00097807,-0.006769022,-0.000681586,0
5/21/81,-0.007028204,-0.000403812,-0.001895735,0
5/22/81,-0.00612679,0.000965913,-0.003192948,0
5/25/81,0,0,0,0
5/26/81,0.015955429,0.015787281,0.010905068,0
5/27/81,0.000596432,0.004206816,0.007503599,0
5/28/81,0.009132953,0.007634306,-0.002395031,0
5/29/81,-0.006587551,0.000713062,-0.006465216,0
6/1/81,0.000707682,0.003908081,-0.001358491,0
6/2/81,-0.013245432,-0.014108406,-0.013610825,0
6/3/81,0.000191195,-0.004755104,0.000688784,0
6/4/81,-0.001599459,0.000199814,0.001910804,0
6/5/81,0.018327938,-0.002071156,0.009575269,0
6/8/81,-0.010296787,0.011662433,0.000151252,0
6/9/81,-0.002920198,-0.001874834,-0.002043829,0
6/10/81,0.000615453,0.006952753,0.002648607,0
6/11/81,0.010697928,0.018328266,0.010749155,0
6/12/81,-0.008130934,0.007938573,-0.001945817,0
6/15/81,-0.00097883,0.018539434,0.00089854,0
6/16/81,-0.006310729,-0.005712888,-0.010987468,0
6/17/81,0.018346595,0.000921981,0.008814612,0
6/18/81,-0.026443183,-0.006202936,-0.012681329,0
6/19/81,0.012807264,-0.014664416,0.004774364,0
6/22/81,-0.000612164,0.005685074,-0.002422225,0
6/23/81,0.007871629,0.014531904,0.010554188,0
6/24/81,-0.008901007,-0.003425851,-0.005187787,0
6/25/81,0.004840345,-0.005574082,0.001130071,0
6/26/81,-0.014593488,0.003463239,-0.001884162,0
6/29/81,-0.006064611,-0.005746307,-0.005067131,0
6/30/81,-0.003189935,-0.003361271,-0.005169149,0
7/1/81,-0.001927545,-0.006142749,-0.01103544,0
7/2/81,-0.011809914,-0.001441146,-0.008745847,0
7/3/81,0,0,0,0
7/6/81,-0.017761433,-0.026105363,-0.009921569,0
7/7/81,0.018316001,6.71E-05,0.006807272,0
